2026-04-05 00:16:52.833 | INFO     | 16544:2628 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\08691ff23d3f45b4a8a99ab8e6031566\logs
2026-04-05 00:16:52.833 | WARNING  | 16544:2628 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-05 00:16:52.875 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:52.907 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:52.940 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:52.974 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.008 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.047 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.082 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.116 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.151 | DEBUG    | 16544:2628 | barbybar.ui.main_window:_schedule_auto_save:1069 | event=auto_save_scheduled
2026-04-05 00:16:53.151 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.189 | DEBUG    | 16544:2628 | barbybar.ui.main_window:show_busy_overlay:834 | event=show_busy_overlay title=正在加载案例...
2026-04-05 00:16:53.189 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.189 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.237 | DEBUG    | 16544:2628 | barbybar.ui.main_window:_schedule_auto_save:1069 | event=auto_save_scheduled
2026-04-05 00:16:53.237 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.272 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.323 | DEBUG    | 16544:2628 | barbybar.ui.main_window:show_busy_overlay:834 | event=show_busy_overlay title=正在加载案例...
2026-04-05 00:16:53.373 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.462 | DEBUG    | 16544:2628 | barbybar.ui.main_window:show_busy_overlay:834 | event=show_busy_overlay title=正在加载案例...
2026-04-05 00:16:53.463 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.515 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.553 | INFO     | 16544:2628 | barbybar.ui.main_window:_import_csv_with_mapping:518 | event=import_success dataset_id=1 timeframe=1m
2026-04-05 00:16:53.554 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.586 | WARNING  | 16544:2628 | barbybar.ui.main_window:_import_csv_with_mapping:497 | event=missing_columns missing_fields=volume
2026-04-05 00:16:53.588 | INFO     | 16544:2628 | barbybar.ui.main_window:_import_csv_with_mapping:518 | event=import_success dataset_id=1 timeframe=1m
2026-04-05 00:16:53.588 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.611 | WARNING  | 16544:2628 | barbybar.ui.main_window:_import_csv_with_mapping:497 | event=missing_columns missing_fields=datetime,volume
2026-04-05 00:16:53.611 | INFO     | 16544:2628 | barbybar.ui.main_window:_import_csv_with_mapping:506 | event=column_mapping_cancelled
2026-04-05 00:16:53.613 | DEBUG    | 16544:2628 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:16:53.684 | WARNING  | 16544:2628 | barbybar.storage.repository:_session_from_row:379 | event=deprecated_chart_timeframe_fallback
