2026-04-04 22:52:20.296 | INFO     | 6812:3952 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\1ead4779446b47c2892ee94564b5208f\logs
2026-04-04 22:52:20.296 | WARNING  | 6812:3952 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-04 22:52:20.334 | DEBUG    | 6812:3952 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:20.372 | DEBUG    | 6812:3952 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:20.409 | DEBUG    | 6812:3952 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:20.450 | DEBUG    | 6812:3952 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:20.498 | DEBUG    | 6812:3952 | barbybar.ui.main_window:show_busy_overlay:694 | event=show_busy_overlay title=正在加载案例...
2026-04-04 22:52:20.502 | DEBUG    | 6812:3952 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:20.503 | DEBUG    | 6812:3952 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:20.535 | DEBUG    | 6812:3952 | barbybar.ui.main_window:_ensure_window_for_forward:873 | event=extend_forward_window current_index=1 buffer=3
2026-04-04 22:52:20.634 | DEBUG    | 6812:3952 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:20.669 | DEBUG    | 6812:3952 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:20.724 | DEBUG    | 6812:3952 | barbybar.ui.main_window:show_busy_overlay:694 | event=show_busy_overlay title=正在加载案例...
2026-04-04 22:52:20.771 | DEBUG    | 6812:3952 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:20.842 | DEBUG    | 6812:3952 | barbybar.ui.main_window:show_busy_overlay:694 | event=show_busy_overlay title=正在加载案例...
2026-04-04 22:52:20.844 | DEBUG    | 6812:3952 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:20.889 | DEBUG    | 6812:3952 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:20.920 | INFO     | 6812:3952 | barbybar.ui.main_window:_import_csv_with_mapping:438 | event=import_success dataset_id=1 timeframe=1m
2026-04-04 22:52:20.920 | DEBUG    | 6812:3952 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:20.951 | WARNING  | 6812:3952 | barbybar.ui.main_window:_import_csv_with_mapping:417 | event=missing_columns missing_fields=volume
2026-04-04 22:52:20.953 | INFO     | 6812:3952 | barbybar.ui.main_window:_import_csv_with_mapping:438 | event=import_success dataset_id=1 timeframe=1m
2026-04-04 22:52:20.953 | DEBUG    | 6812:3952 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:20.980 | WARNING  | 6812:3952 | barbybar.ui.main_window:_import_csv_with_mapping:417 | event=missing_columns missing_fields=datetime,volume
2026-04-04 22:52:20.981 | INFO     | 6812:3952 | barbybar.ui.main_window:_import_csv_with_mapping:426 | event=column_mapping_cancelled
2026-04-04 22:52:20.981 | DEBUG    | 6812:3952 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
