2026-04-04 22:52:50.445 | INFO     | 18400:14400 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\35b78318748744f0bc25930f7f07b8dd\logs
2026-04-04 22:52:50.446 | WARNING  | 18400:14400 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-04 22:52:50.510 | DEBUG    | 18400:14400 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:50.558 | DEBUG    | 18400:14400 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:50.591 | DEBUG    | 18400:14400 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:50.619 | DEBUG    | 18400:14400 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:50.647 | DEBUG    | 18400:14400 | barbybar.ui.main_window:show_busy_overlay:694 | event=show_busy_overlay title=正在加载案例...
2026-04-04 22:52:50.649 | DEBUG    | 18400:14400 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:50.651 | DEBUG    | 18400:14400 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:50.685 | DEBUG    | 18400:14400 | barbybar.ui.main_window:_schedule_auto_save:928 | event=auto_save_scheduled
2026-04-04 22:52:50.685 | DEBUG    | 18400:14400 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:50.718 | DEBUG    | 18400:14400 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:50.778 | DEBUG    | 18400:14400 | barbybar.ui.main_window:show_busy_overlay:694 | event=show_busy_overlay title=正在加载案例...
2026-04-04 22:52:50.820 | DEBUG    | 18400:14400 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:50.883 | DEBUG    | 18400:14400 | barbybar.ui.main_window:show_busy_overlay:694 | event=show_busy_overlay title=正在加载案例...
2026-04-04 22:52:50.884 | DEBUG    | 18400:14400 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:50.938 | DEBUG    | 18400:14400 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:50.982 | INFO     | 18400:14400 | barbybar.ui.main_window:_import_csv_with_mapping:438 | event=import_success dataset_id=1 timeframe=1m
2026-04-04 22:52:50.983 | DEBUG    | 18400:14400 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:51.011 | WARNING  | 18400:14400 | barbybar.ui.main_window:_import_csv_with_mapping:417 | event=missing_columns missing_fields=volume
2026-04-04 22:52:51.014 | INFO     | 18400:14400 | barbybar.ui.main_window:_import_csv_with_mapping:438 | event=import_success dataset_id=1 timeframe=1m
2026-04-04 22:52:51.015 | DEBUG    | 18400:14400 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
2026-04-04 22:52:51.042 | WARNING  | 18400:14400 | barbybar.ui.main_window:_import_csv_with_mapping:417 | event=missing_columns missing_fields=datetime,volume
2026-04-04 22:52:51.042 | INFO     | 18400:14400 | barbybar.ui.main_window:_import_csv_with_mapping:426 | event=column_mapping_cancelled
2026-04-04 22:52:51.042 | DEBUG    | 18400:14400 | barbybar.ui.main_window:hide_busy_overlay:710 | event=hide_busy_overlay
