2026-04-04 23:17:49.902 | INFO     | 15904:10428 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\3888bcf9ab734b33a7dffc593a2adc67\logs
2026-04-04 23:17:49.902 | WARNING  | 15904:10428 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-04 23:17:49.948 | DEBUG    | 15904:10428 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:17:49.981 | DEBUG    | 15904:10428 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:17:50.013 | DEBUG    | 15904:10428 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:17:50.047 | DEBUG    | 15904:10428 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:17:50.078 | DEBUG    | 15904:10428 | barbybar.ui.main_window:show_busy_overlay:699 | event=show_busy_overlay title=正在加载案例...
2026-04-04 23:17:50.081 | DEBUG    | 15904:10428 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:17:50.082 | DEBUG    | 15904:10428 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:17:50.116 | DEBUG    | 15904:10428 | barbybar.ui.main_window:_schedule_auto_save:933 | event=auto_save_scheduled
2026-04-04 23:17:50.117 | DEBUG    | 15904:10428 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:17:50.151 | DEBUG    | 15904:10428 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:17:50.208 | DEBUG    | 15904:10428 | barbybar.ui.main_window:show_busy_overlay:699 | event=show_busy_overlay title=正在加载案例...
2026-04-04 23:17:50.254 | DEBUG    | 15904:10428 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:17:50.331 | DEBUG    | 15904:10428 | barbybar.ui.main_window:show_busy_overlay:699 | event=show_busy_overlay title=正在加载案例...
2026-04-04 23:17:50.333 | DEBUG    | 15904:10428 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:17:50.372 | DEBUG    | 15904:10428 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:17:50.402 | INFO     | 15904:10428 | barbybar.ui.main_window:_import_csv_with_mapping:438 | event=import_success dataset_id=1 timeframe=1m
2026-04-04 23:17:50.402 | DEBUG    | 15904:10428 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:17:50.430 | WARNING  | 15904:10428 | barbybar.ui.main_window:_import_csv_with_mapping:417 | event=missing_columns missing_fields=volume
2026-04-04 23:17:50.434 | INFO     | 15904:10428 | barbybar.ui.main_window:_import_csv_with_mapping:438 | event=import_success dataset_id=1 timeframe=1m
2026-04-04 23:17:50.434 | DEBUG    | 15904:10428 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:17:50.459 | WARNING  | 15904:10428 | barbybar.ui.main_window:_import_csv_with_mapping:417 | event=missing_columns missing_fields=datetime,volume
2026-04-04 23:17:50.459 | INFO     | 15904:10428 | barbybar.ui.main_window:_import_csv_with_mapping:426 | event=column_mapping_cancelled
2026-04-04 23:17:50.460 | DEBUG    | 15904:10428 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:17:50.531 | WARNING  | 15904:10428 | barbybar.storage.repository:_session_from_row:321 | event=deprecated_chart_timeframe_fallback
