2026-04-05 11:12:52.690 | INFO     | 9344:10068 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\4137971249c4438a9ccf2d9d93bf43d8\logs
2026-04-05 11:12:52.691 | WARNING  | 9344:10068 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-05 11:12:52.725 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:52.759 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:52.795 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:52.841 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:52.865 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:52.903 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:52.928 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:52.962 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:52.991 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.025 | DEBUG    | 9344:10068 | barbybar.ui.main_window:_schedule_auto_save:1051 | event=auto_save_scheduled
2026-04-05 11:12:53.026 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.058 | DEBUG    | 9344:10068 | barbybar.ui.main_window:_schedule_auto_save:1051 | event=auto_save_scheduled
2026-04-05 11:12:53.058 | DEBUG    | 9344:10068 | barbybar.ui.main_window:_schedule_auto_save:1051 | event=auto_save_scheduled
2026-04-05 11:12:53.059 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.089 | DEBUG    | 9344:10068 | barbybar.ui.main_window:show_busy_overlay:816 | event=show_busy_overlay title=正在加载案例...
2026-04-05 11:12:53.090 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.091 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.118 | DEBUG    | 9344:10068 | barbybar.ui.main_window:_schedule_auto_save:1051 | event=auto_save_scheduled
2026-04-05 11:12:53.119 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.147 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.179 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.212 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.247 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.298 | DEBUG    | 9344:10068 | barbybar.ui.main_window:show_busy_overlay:816 | event=show_busy_overlay title=正在加载案例...
2026-04-05 11:12:53.308 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.348 | DEBUG    | 9344:10068 | barbybar.ui.main_window:show_busy_overlay:816 | event=show_busy_overlay title=正在加载案例...
2026-04-05 11:12:53.349 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.379 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.437 | INFO     | 9344:10068 | barbybar.ui.main_window:_import_csv_with_mapping:499 | event=import_success dataset_id=1 timeframe=1m
2026-04-05 11:12:53.438 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.464 | WARNING  | 9344:10068 | barbybar.ui.main_window:_import_csv_with_mapping:478 | event=missing_columns missing_fields=volume
2026-04-05 11:12:53.469 | INFO     | 9344:10068 | barbybar.ui.main_window:_import_csv_with_mapping:499 | event=import_success dataset_id=1 timeframe=1m
2026-04-05 11:12:53.469 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.493 | WARNING  | 9344:10068 | barbybar.ui.main_window:_import_csv_with_mapping:478 | event=missing_columns missing_fields=datetime,volume
2026-04-05 11:12:53.493 | INFO     | 9344:10068 | barbybar.ui.main_window:_import_csv_with_mapping:487 | event=column_mapping_cancelled
2026-04-05 11:12:53.494 | DEBUG    | 9344:10068 | barbybar.ui.main_window:hide_busy_overlay:832 | event=hide_busy_overlay
2026-04-05 11:12:53.569 | WARNING  | 9344:10068 | barbybar.storage.repository:_session_from_row:420 | event=deprecated_chart_timeframe_fallback
