2026-04-05 00:45:03.377 | INFO     | 18272:19164 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\422cdae3b1c443609699f6d649dc58bb\logs
2026-04-05 00:45:03.378 | WARNING  | 18272:19164 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-05 00:45:03.430 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.464 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.512 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.546 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.580 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.614 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.641 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.673 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.703 | DEBUG    | 18272:19164 | barbybar.ui.main_window:_schedule_auto_save:1068 | event=auto_save_scheduled
2026-04-05 00:45:03.704 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.732 | DEBUG    | 18272:19164 | barbybar.ui.main_window:show_busy_overlay:833 | event=show_busy_overlay title=正在加载案例...
2026-04-05 00:45:03.732 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.732 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.765 | DEBUG    | 18272:19164 | barbybar.ui.main_window:_schedule_auto_save:1068 | event=auto_save_scheduled
2026-04-05 00:45:03.765 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.798 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.830 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.872 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.902 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:03.955 | DEBUG    | 18272:19164 | barbybar.ui.main_window:show_busy_overlay:833 | event=show_busy_overlay title=正在加载案例...
2026-04-05 00:45:03.978 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:04.052 | DEBUG    | 18272:19164 | barbybar.ui.main_window:show_busy_overlay:833 | event=show_busy_overlay title=正在加载案例...
2026-04-05 00:45:04.053 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:04.087 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:04.115 | INFO     | 18272:19164 | barbybar.ui.main_window:_import_csv_with_mapping:517 | event=import_success dataset_id=1 timeframe=1m
2026-04-05 00:45:04.116 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:04.130 | WARNING  | 18272:19164 | barbybar.ui.main_window:_import_csv_with_mapping:496 | event=missing_columns missing_fields=volume
2026-04-05 00:45:04.130 | INFO     | 18272:19164 | barbybar.ui.main_window:_import_csv_with_mapping:517 | event=import_success dataset_id=1 timeframe=1m
2026-04-05 00:45:04.130 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:04.174 | WARNING  | 18272:19164 | barbybar.ui.main_window:_import_csv_with_mapping:496 | event=missing_columns missing_fields=datetime,volume
2026-04-05 00:45:04.174 | INFO     | 18272:19164 | barbybar.ui.main_window:_import_csv_with_mapping:505 | event=column_mapping_cancelled
2026-04-05 00:45:04.175 | DEBUG    | 18272:19164 | barbybar.ui.main_window:hide_busy_overlay:849 | event=hide_busy_overlay
2026-04-05 00:45:04.315 | WARNING  | 18272:19164 | barbybar.storage.repository:_session_from_row:413 | event=deprecated_chart_timeframe_fallback
