2026-04-04 23:46:12.496 | INFO     | 9528:9072 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\82588223ff1a419fba9e2e423b3bc5d3\logs
2026-04-04 23:46:12.497 | WARNING  | 9528:9072 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-04 23:46:12.557 | DEBUG    | 9528:9072 | barbybar.ui.main_window:hide_busy_overlay:800 | event=hide_busy_overlay
2026-04-04 23:46:12.597 | DEBUG    | 9528:9072 | barbybar.ui.main_window:hide_busy_overlay:800 | event=hide_busy_overlay
2026-04-04 23:46:12.632 | DEBUG    | 9528:9072 | barbybar.ui.main_window:hide_busy_overlay:800 | event=hide_busy_overlay
2026-04-04 23:46:12.666 | DEBUG    | 9528:9072 | barbybar.ui.main_window:hide_busy_overlay:800 | event=hide_busy_overlay
2026-04-04 23:46:12.699 | DEBUG    | 9528:9072 | barbybar.ui.main_window:show_busy_overlay:784 | event=show_busy_overlay title=正在加载案例...
2026-04-04 23:46:12.701 | DEBUG    | 9528:9072 | barbybar.ui.main_window:hide_busy_overlay:800 | event=hide_busy_overlay
2026-04-04 23:46:12.702 | DEBUG    | 9528:9072 | barbybar.ui.main_window:hide_busy_overlay:800 | event=hide_busy_overlay
2026-04-04 23:46:12.743 | DEBUG    | 9528:9072 | barbybar.ui.main_window:_schedule_auto_save:1019 | event=auto_save_scheduled
2026-04-04 23:46:12.745 | DEBUG    | 9528:9072 | barbybar.ui.main_window:hide_busy_overlay:800 | event=hide_busy_overlay
2026-04-04 23:46:12.781 | DEBUG    | 9528:9072 | barbybar.ui.main_window:hide_busy_overlay:800 | event=hide_busy_overlay
2026-04-04 23:46:12.841 | DEBUG    | 9528:9072 | barbybar.ui.main_window:show_busy_overlay:784 | event=show_busy_overlay title=正在加载案例...
2026-04-04 23:46:12.871 | DEBUG    | 9528:9072 | barbybar.ui.main_window:hide_busy_overlay:800 | event=hide_busy_overlay
2026-04-04 23:46:12.953 | DEBUG    | 9528:9072 | barbybar.ui.main_window:show_busy_overlay:784 | event=show_busy_overlay title=正在加载案例...
2026-04-04 23:46:12.954 | DEBUG    | 9528:9072 | barbybar.ui.main_window:hide_busy_overlay:800 | event=hide_busy_overlay
2026-04-04 23:46:12.997 | DEBUG    | 9528:9072 | barbybar.ui.main_window:hide_busy_overlay:800 | event=hide_busy_overlay
2026-04-04 23:46:13.027 | INFO     | 9528:9072 | barbybar.ui.main_window:_import_csv_with_mapping:478 | event=import_success dataset_id=1 timeframe=1m
2026-04-04 23:46:13.028 | DEBUG    | 9528:9072 | barbybar.ui.main_window:hide_busy_overlay:800 | event=hide_busy_overlay
2026-04-04 23:46:13.041 | WARNING  | 9528:9072 | barbybar.ui.main_window:_import_csv_with_mapping:457 | event=missing_columns missing_fields=volume
2026-04-04 23:46:13.056 | INFO     | 9528:9072 | barbybar.ui.main_window:_import_csv_with_mapping:478 | event=import_success dataset_id=1 timeframe=1m
2026-04-04 23:46:13.057 | DEBUG    | 9528:9072 | barbybar.ui.main_window:hide_busy_overlay:800 | event=hide_busy_overlay
2026-04-04 23:46:13.084 | WARNING  | 9528:9072 | barbybar.ui.main_window:_import_csv_with_mapping:457 | event=missing_columns missing_fields=datetime,volume
2026-04-04 23:46:13.084 | INFO     | 9528:9072 | barbybar.ui.main_window:_import_csv_with_mapping:466 | event=column_mapping_cancelled
2026-04-04 23:46:13.084 | DEBUG    | 9528:9072 | barbybar.ui.main_window:hide_busy_overlay:800 | event=hide_busy_overlay
2026-04-04 23:46:13.158 | WARNING  | 9528:9072 | barbybar.storage.repository:_session_from_row:375 | event=deprecated_chart_timeframe_fallback
