2026-04-05 12:10:38.363 | INFO     | 9584:1604 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\9cccd0f05a004b3b81d4b6d619bd9a0a\logs
2026-04-05 12:10:38.363 | WARNING  | 9584:1604 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-05 12:10:38.394 | DEBUG    | 9584:1604 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:10:38.429 | DEBUG    | 9584:1604 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:10:38.459 | DEBUG    | 9584:1604 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:10:38.491 | DEBUG    | 9584:1604 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:10:38.524 | DEBUG    | 9584:1604 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:10:38.554 | DEBUG    | 9584:1604 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:10:38.584 | DEBUG    | 9584:1604 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:10:38.616 | DEBUG    | 9584:1604 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:10:38.647 | DEBUG    | 9584:1604 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:10:38.684 | INFO     | 9584:1604 | barbybar.ui.main_window:_autoload_recent_session:712 | event=autoload_recent_session
2026-04-05 12:10:38.684 | INFO     | 9584:1604 | barbybar.ui.main_window:_start_session_load:1036 | event=start_load title=正在恢复最近训练...
2026-04-05 12:10:38.685 | DEBUG    | 9584:1604 | barbybar.ui.main_window:show_busy_overlay:994 | event=show_busy_overlay title=正在恢复最近训练...
2026-04-05 12:10:38.688 | DEBUG    | 9584:15408 | barbybar.ui.main_window:run:137 | event=get_session elapsed_ms=0.111
2026-04-05 12:10:38.688 | DEBUG    | 9584:15408 | barbybar.ui.main_window:run:141 | event=get_dataset elapsed_ms=0.050
2026-04-05 12:10:38.688 | DEBUG    | 9584:15408 | barbybar.ui.main_window:run:144 | event=get_session_actions elapsed_ms=0.158
2026-04-05 12:10:38.688 | DEBUG    | 9584:15408 | barbybar.ui.main_window:run:147 | event=get_order_lines elapsed_ms=0.071
2026-04-05 12:10:38.689 | DEBUG    | 9584:15408 | barbybar.ui.main_window:run:157 | event=get_chart_window elapsed_ms=1.219 bars=43 start=0 end=42 total=180
2026-04-05 12:10:38.689 | INFO     | 9584:15408 | barbybar.ui.main_window:run:165 | event=session_load_complete elapsed_ms=3.199
2026-04-05 12:10:38.690 | DEBUG    | 9584:1604 | barbybar.ui.main_window:_handle_loaded_session:1078 | event=set_timeframe_choices elapsed_ms=0.029
2026-04-05 12:10:38.690 | DEBUG    | 9584:1604 | barbybar.ui.main_window:_handle_loaded_session:1084 | event=build_engine elapsed_ms=0.024
2026-04-05 12:10:38.691 | DEBUG    | 9584:1604 | barbybar.ui.main_window:_handle_loaded_session:1099 | event=set_window_data elapsed_ms=1.322 bars=43 start=0 end=42
2026-04-05 12:10:38.692 | DEBUG    | 9584:1604 | barbybar.ui.main_window:_handle_loaded_session:1108 | event=update_ui elapsed_ms=1.073
2026-04-05 12:10:38.692 | INFO     | 9584:1604 | barbybar.ui.main_window:_handle_loaded_session:1116 | event=load_applied elapsed_ms=2.756
2026-04-05 12:10:38.692 | DEBUG    | 9584:1604 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:10:38.693 | DEBUG    | 9584:1604 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:10:38.693 | WARNING  | 9584:1604 | barbybar.ui.main_window:closeEvent:1144 | event=close_waiting_for_loader_thread
2026-04-05 12:10:38.693 | DEBUG    | 9584:1604 | barbybar.ui.main_window:_handle_loader_thread_finished:1138 | event=loader_thread_finished
