2026-04-05 12:08:23.256 | INFO     | 3744:16072 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\a55642e155e64c6f9c0463d158ba3c48\logs
2026-04-05 12:08:23.257 | WARNING  | 3744:16072 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-05 12:08:23.285 | DEBUG    | 3744:16072 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:08:23.316 | DEBUG    | 3744:16072 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:08:23.348 | DEBUG    | 3744:16072 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:08:23.382 | DEBUG    | 3744:16072 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:08:23.411 | DEBUG    | 3744:16072 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:08:23.443 | DEBUG    | 3744:16072 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:08:23.472 | DEBUG    | 3744:16072 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:08:23.504 | DEBUG    | 3744:16072 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:08:23.539 | DEBUG    | 3744:16072 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:08:23.575 | INFO     | 3744:16072 | barbybar.ui.main_window:_autoload_recent_session:712 | event=autoload_recent_session
2026-04-05 12:08:23.575 | INFO     | 3744:16072 | barbybar.ui.main_window:_start_session_load:1036 | event=start_load title=正在恢复最近训练...
2026-04-05 12:08:23.575 | DEBUG    | 3744:16072 | barbybar.ui.main_window:show_busy_overlay:994 | event=show_busy_overlay title=正在恢复最近训练...
2026-04-05 12:08:23.578 | DEBUG    | 3744:15304 | barbybar.ui.main_window:run:137 | event=get_session elapsed_ms=0.128
2026-04-05 12:08:23.578 | DEBUG    | 3744:15304 | barbybar.ui.main_window:run:141 | event=get_dataset elapsed_ms=0.066
2026-04-05 12:08:23.578 | DEBUG    | 3744:15304 | barbybar.ui.main_window:run:144 | event=get_session_actions elapsed_ms=0.049
2026-04-05 12:08:23.578 | DEBUG    | 3744:15304 | barbybar.ui.main_window:run:147 | event=get_order_lines elapsed_ms=0.122
2026-04-05 12:08:23.580 | DEBUG    | 3744:15304 | barbybar.ui.main_window:run:157 | event=get_chart_window elapsed_ms=0.779 bars=43 start=0 end=42 total=180
