2026-04-05 21:25:27.876 | INFO     | 3200:10488 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\ac460b485d4648f59ce8b26e4ab75385\logs
2026-04-05 21:25:27.877 | WARNING  | 3200:10488 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-05 21:25:27.923 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=cancel_order_preview_start
2026-04-05 21:25:27.923 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=cancel_order_preview_done
2026-04-05 21:25:27.923 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=set_active_drawing_tool_start
2026-04-05 21:25:27.924 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=set_active_drawing_tool_done
2026-04-05 21:25:27.924 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=cancel_order_preview_start
2026-04-05 21:25:27.924 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=cancel_order_preview_done
2026-04-05 21:25:27.925 | DEBUG    | 3200:10488 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 21:25:27.961 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=cancel_order_preview_start
2026-04-05 21:25:27.961 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=cancel_order_preview_done
2026-04-05 21:25:27.961 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=set_active_drawing_tool_start
2026-04-05 21:25:27.961 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=set_active_drawing_tool_done
2026-04-05 21:25:27.961 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=cancel_order_preview_start
2026-04-05 21:25:27.962 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=cancel_order_preview_done
2026-04-05 21:25:27.962 | DEBUG    | 3200:10488 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 21:25:27.996 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=cancel_order_preview_start
2026-04-05 21:25:27.997 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=cancel_order_preview_done
2026-04-05 21:25:27.997 | DEBUG    | 3200:10488 | barbybar.ui.chart_widget:_log_interaction:2004 | event=set_active_drawing_tool_start
