2026-04-05 12:05:25.752 | INFO     | 2156:15096 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\ad45b409801b462ab4d32dcfd79b4859\logs
2026-04-05 12:05:25.752 | WARNING  | 2156:15096 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-05 12:05:25.782 | DEBUG    | 2156:15096 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:05:25.819 | DEBUG    | 2156:15096 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:05:25.853 | DEBUG    | 2156:15096 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:05:25.891 | DEBUG    | 2156:15096 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:05:25.928 | DEBUG    | 2156:15096 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:05:25.961 | DEBUG    | 2156:15096 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:05:25.994 | DEBUG    | 2156:15096 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:05:26.031 | DEBUG    | 2156:15096 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:05:26.066 | DEBUG    | 2156:15096 | barbybar.ui.main_window:hide_busy_overlay:1010 | event=hide_busy_overlay
2026-04-05 12:05:26.105 | INFO     | 2156:15096 | barbybar.ui.main_window:_autoload_recent_session:712 | event=autoload_recent_session
2026-04-05 12:05:26.106 | INFO     | 2156:15096 | barbybar.ui.main_window:_start_session_load:1036 | event=start_load title=正在恢复最近训练...
2026-04-05 12:05:26.106 | DEBUG    | 2156:15096 | barbybar.ui.main_window:show_busy_overlay:994 | event=show_busy_overlay title=正在恢复最近训练...
2026-04-05 12:05:26.112 | DEBUG    | 2156:6548 | barbybar.ui.main_window:run:137 | event=get_session elapsed_ms=0.168
2026-04-05 12:05:26.112 | DEBUG    | 2156:6548 | barbybar.ui.main_window:run:141 | event=get_dataset elapsed_ms=0.074
2026-04-05 12:05:26.112 | DEBUG    | 2156:6548 | barbybar.ui.main_window:run:144 | event=get_session_actions elapsed_ms=0.060
2026-04-05 12:05:26.112 | DEBUG    | 2156:6548 | barbybar.ui.main_window:run:147 | event=get_order_lines elapsed_ms=0.040
