2026-04-04 23:00:37.940 | INFO     | 1060:14564 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\af19c47884204d93b9edb839bb4ea2db\logs
2026-04-04 23:00:37.940 | WARNING  | 1060:14564 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-04 23:00:37.978 | DEBUG    | 1060:14564 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:00:38.013 | DEBUG    | 1060:14564 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:00:38.045 | DEBUG    | 1060:14564 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:00:38.075 | DEBUG    | 1060:14564 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:00:38.104 | DEBUG    | 1060:14564 | barbybar.ui.main_window:show_busy_overlay:699 | event=show_busy_overlay title=正在加载案例...
2026-04-04 23:00:38.106 | DEBUG    | 1060:14564 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:00:38.106 | DEBUG    | 1060:14564 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:00:38.135 | DEBUG    | 1060:14564 | barbybar.ui.main_window:_schedule_auto_save:933 | event=auto_save_scheduled
2026-04-04 23:00:38.136 | DEBUG    | 1060:14564 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:00:38.167 | DEBUG    | 1060:14564 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:00:38.208 | DEBUG    | 1060:14564 | barbybar.ui.main_window:show_busy_overlay:699 | event=show_busy_overlay title=正在加载案例...
2026-04-04 23:00:38.241 | DEBUG    | 1060:14564 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:00:38.281 | DEBUG    | 1060:14564 | barbybar.ui.main_window:show_busy_overlay:699 | event=show_busy_overlay title=正在加载案例...
2026-04-04 23:00:38.282 | DEBUG    | 1060:14564 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:00:38.317 | DEBUG    | 1060:14564 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:00:38.347 | INFO     | 1060:14564 | barbybar.ui.main_window:_import_csv_with_mapping:438 | event=import_success dataset_id=1 timeframe=1m
2026-04-04 23:00:38.348 | DEBUG    | 1060:14564 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:00:38.376 | WARNING  | 1060:14564 | barbybar.ui.main_window:_import_csv_with_mapping:417 | event=missing_columns missing_fields=volume
2026-04-04 23:00:38.380 | INFO     | 1060:14564 | barbybar.ui.main_window:_import_csv_with_mapping:438 | event=import_success dataset_id=1 timeframe=1m
2026-04-04 23:00:38.380 | DEBUG    | 1060:14564 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:00:38.430 | WARNING  | 1060:14564 | barbybar.ui.main_window:_import_csv_with_mapping:417 | event=missing_columns missing_fields=datetime,volume
2026-04-04 23:00:38.430 | INFO     | 1060:14564 | barbybar.ui.main_window:_import_csv_with_mapping:426 | event=column_mapping_cancelled
2026-04-04 23:00:38.430 | DEBUG    | 1060:14564 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:00:38.505 | WARNING  | 1060:14564 | barbybar.storage.repository:_session_from_row:321 | event=deprecated_chart_timeframe_fallback
