2026-04-05 00:00:21.605 | INFO     | 18892:18840 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\b28772ce7ed748088e32a63636a21ac9\logs
2026-04-05 00:00:21.605 | WARNING  | 18892:18840 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-05 00:00:21.643 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:21.674 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:21.708 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:21.739 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:21.771 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:21.802 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:21.834 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:21.867 | DEBUG    | 18892:18840 | barbybar.ui.main_window:show_busy_overlay:803 | event=show_busy_overlay title=正在加载案例...
2026-04-05 00:00:21.868 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:21.869 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:21.902 | DEBUG    | 18892:18840 | barbybar.ui.main_window:_schedule_auto_save:1038 | event=auto_save_scheduled
2026-04-05 00:00:21.903 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:21.936 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:21.985 | DEBUG    | 18892:18840 | barbybar.ui.main_window:show_busy_overlay:803 | event=show_busy_overlay title=正在加载案例...
2026-04-05 00:00:22.018 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:22.097 | DEBUG    | 18892:18840 | barbybar.ui.main_window:show_busy_overlay:803 | event=show_busy_overlay title=正在加载案例...
2026-04-05 00:00:22.100 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:22.137 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:22.174 | INFO     | 18892:18840 | barbybar.ui.main_window:_import_csv_with_mapping:481 | event=import_success dataset_id=1 timeframe=1m
2026-04-05 00:00:22.174 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:22.204 | WARNING  | 18892:18840 | barbybar.ui.main_window:_import_csv_with_mapping:460 | event=missing_columns missing_fields=volume
2026-04-05 00:00:22.208 | INFO     | 18892:18840 | barbybar.ui.main_window:_import_csv_with_mapping:481 | event=import_success dataset_id=1 timeframe=1m
2026-04-05 00:00:22.208 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:22.237 | WARNING  | 18892:18840 | barbybar.ui.main_window:_import_csv_with_mapping:460 | event=missing_columns missing_fields=datetime,volume
2026-04-05 00:00:22.237 | INFO     | 18892:18840 | barbybar.ui.main_window:_import_csv_with_mapping:469 | event=column_mapping_cancelled
2026-04-05 00:00:22.237 | DEBUG    | 18892:18840 | barbybar.ui.main_window:hide_busy_overlay:819 | event=hide_busy_overlay
2026-04-05 00:00:22.309 | WARNING  | 18892:18840 | barbybar.storage.repository:_session_from_row:375 | event=deprecated_chart_timeframe_fallback
