2026-04-05 00:23:14.542 | INFO     | 18684:18988 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\ba8fc8c5480e4dd5817196386acd63db\logs
2026-04-05 00:23:14.542 | WARNING  | 18684:18988 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-05 00:23:14.578 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:14.611 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:14.634 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:14.677 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:14.706 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:14.726 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:14.764 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:14.798 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:14.842 | DEBUG    | 18684:18988 | barbybar.ui.main_window:_schedule_auto_save:1069 | event=auto_save_scheduled
2026-04-05 00:23:14.843 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:14.877 | DEBUG    | 18684:18988 | barbybar.ui.main_window:show_busy_overlay:834 | event=show_busy_overlay title=正在加载案例...
2026-04-05 00:23:14.879 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:14.880 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:14.914 | DEBUG    | 18684:18988 | barbybar.ui.main_window:_schedule_auto_save:1069 | event=auto_save_scheduled
2026-04-05 00:23:14.915 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:14.947 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:14.999 | DEBUG    | 18684:18988 | barbybar.ui.main_window:show_busy_overlay:834 | event=show_busy_overlay title=正在加载案例...
2026-04-05 00:23:15.036 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:15.105 | DEBUG    | 18684:18988 | barbybar.ui.main_window:show_busy_overlay:834 | event=show_busy_overlay title=正在加载案例...
2026-04-05 00:23:15.106 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:15.144 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:15.172 | INFO     | 18684:18988 | barbybar.ui.main_window:_import_csv_with_mapping:518 | event=import_success dataset_id=1 timeframe=1m
2026-04-05 00:23:15.175 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:15.199 | WARNING  | 18684:18988 | barbybar.ui.main_window:_import_csv_with_mapping:497 | event=missing_columns missing_fields=volume
2026-04-05 00:23:15.207 | INFO     | 18684:18988 | barbybar.ui.main_window:_import_csv_with_mapping:518 | event=import_success dataset_id=1 timeframe=1m
2026-04-05 00:23:15.207 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:15.234 | WARNING  | 18684:18988 | barbybar.ui.main_window:_import_csv_with_mapping:497 | event=missing_columns missing_fields=datetime,volume
2026-04-05 00:23:15.234 | INFO     | 18684:18988 | barbybar.ui.main_window:_import_csv_with_mapping:506 | event=column_mapping_cancelled
2026-04-05 00:23:15.234 | DEBUG    | 18684:18988 | barbybar.ui.main_window:hide_busy_overlay:850 | event=hide_busy_overlay
2026-04-05 00:23:15.305 | WARNING  | 18684:18988 | barbybar.storage.repository:_session_from_row:410 | event=deprecated_chart_timeframe_fallback
