2026-04-05 22:54:58.532 | INFO     | 11552:13192 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\c7fc59e3317149198723a482d8d51347\logs
2026-04-05 22:54:58.533 | WARNING  | 11552:13192 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-05 22:54:58.572 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.572 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.572 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_start
2026-04-05 22:54:58.573 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_done
2026-04-05 22:54:58.573 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.573 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.573 | DEBUG    | 11552:13192 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:54:58.616 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.616 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.616 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_start
2026-04-05 22:54:58.616 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_done
2026-04-05 22:54:58.616 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.616 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.617 | DEBUG    | 11552:13192 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:54:58.657 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.657 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.657 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_start
2026-04-05 22:54:58.658 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_done
2026-04-05 22:54:58.658 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.658 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.658 | DEBUG    | 11552:13192 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:54:58.696 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.696 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.697 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_start
2026-04-05 22:54:58.697 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_done
2026-04-05 22:54:58.697 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.697 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.698 | DEBUG    | 11552:13192 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:54:58.731 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.731 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.731 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_start
2026-04-05 22:54:58.731 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_done
2026-04-05 22:54:58.731 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.731 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.733 | DEBUG    | 11552:13192 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:54:58.776 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.777 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.777 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_start
2026-04-05 22:54:58.777 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_done
2026-04-05 22:54:58.777 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.777 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.778 | DEBUG    | 11552:13192 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:54:58.809 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.810 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.810 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_start
2026-04-05 22:54:58.810 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_done
2026-04-05 22:54:58.810 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.810 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.811 | DEBUG    | 11552:13192 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:54:58.849 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.849 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.849 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_start
2026-04-05 22:54:58.849 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_done
2026-04-05 22:54:58.849 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.849 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.850 | DEBUG    | 11552:13192 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:54:58.883 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.883 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.883 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_start
2026-04-05 22:54:58.883 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_done
2026-04-05 22:54:58.883 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.883 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.885 | DEBUG    | 11552:13192 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:54:58.915 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.915 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.915 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_start
2026-04-05 22:54:58.915 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=set_active_drawing_tool_done
2026-04-05 22:54:58.915 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_start
2026-04-05 22:54:58.915 | DEBUG    | 11552:13192 | barbybar.ui.chart_widget:_log_interaction:2009 | event=cancel_order_preview_done
2026-04-05 22:54:58.915 | DEBUG    | 11552:13192 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:54:58.952 | INFO     | 11552:13192 | barbybar.ui.main_window:_autoload_recent_session:986 | event=autoload_recent_session
2026-04-05 22:54:58.952 | INFO     | 11552:13192 | barbybar.ui.main_window:_start_session_load:1430 | event=start_load title=正在恢复最近训练...
2026-04-05 22:54:58.952 | DEBUG    | 11552:13192 | barbybar.ui.main_window:show_busy_overlay:1388 | event=show_busy_overlay title=正在恢复最近训练...
