2026-04-05 22:41:27.132 | INFO     | 7236:7632 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\eb54c5152ec84ef783468a7b10b3a02c\logs
2026-04-05 22:41:27.132 | WARNING  | 7236:7632 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-05 22:41:27.176 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_start
2026-04-05 22:41:27.177 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_done
2026-04-05 22:41:27.177 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=set_active_drawing_tool_start
2026-04-05 22:41:27.178 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=set_active_drawing_tool_done
2026-04-05 22:41:27.178 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_start
2026-04-05 22:41:27.178 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_done
2026-04-05 22:41:27.179 | DEBUG    | 7236:7632 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:41:27.213 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_start
2026-04-05 22:41:27.213 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_done
2026-04-05 22:41:27.213 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=set_active_drawing_tool_start
2026-04-05 22:41:27.213 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=set_active_drawing_tool_done
2026-04-05 22:41:27.213 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_start
2026-04-05 22:41:27.213 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_done
2026-04-05 22:41:27.214 | DEBUG    | 7236:7632 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:41:27.248 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_start
2026-04-05 22:41:27.249 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_done
2026-04-05 22:41:27.249 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=set_active_drawing_tool_start
2026-04-05 22:41:27.249 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=set_active_drawing_tool_done
2026-04-05 22:41:27.249 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_start
2026-04-05 22:41:27.249 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_done
2026-04-05 22:41:27.249 | DEBUG    | 7236:7632 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:41:27.287 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_start
2026-04-05 22:41:27.287 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_done
2026-04-05 22:41:27.288 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=set_active_drawing_tool_start
2026-04-05 22:41:27.288 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=set_active_drawing_tool_done
2026-04-05 22:41:27.288 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_start
2026-04-05 22:41:27.288 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_done
2026-04-05 22:41:27.289 | DEBUG    | 7236:7632 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:41:27.323 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_start
2026-04-05 22:41:27.323 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_done
2026-04-05 22:41:27.323 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=set_active_drawing_tool_start
2026-04-05 22:41:27.324 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=set_active_drawing_tool_done
2026-04-05 22:41:27.324 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_start
2026-04-05 22:41:27.324 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_done
2026-04-05 22:41:27.325 | DEBUG    | 7236:7632 | barbybar.ui.main_window:hide_busy_overlay:1404 | event=hide_busy_overlay
2026-04-05 22:41:27.362 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_start
2026-04-05 22:41:27.362 | DEBUG    | 7236:7632 | barbybar.ui.chart_widget:_log_interaction:1994 | event=cancel_order_preview_done
