2026-04-05 20:50:36.927 | INFO     | 4148:4848 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\f6ec9021bf0d4f828dca765971c5a809\logs
2026-04-05 20:50:36.927 | WARNING  | 4148:4848 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-05 20:50:36.962 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=cancel_order_preview_start
2026-04-05 20:50:36.962 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=cancel_order_preview_done
2026-04-05 20:50:36.962 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=set_active_drawing_tool_start
2026-04-05 20:50:36.962 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=set_active_drawing_tool_done
2026-04-05 20:50:36.962 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=cancel_order_preview_start
2026-04-05 20:50:36.962 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=cancel_order_preview_done
2026-04-05 20:50:36.963 | DEBUG    | 4148:4848 | barbybar.ui.main_window:hide_busy_overlay:1364 | event=hide_busy_overlay
2026-04-05 20:50:36.996 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=cancel_order_preview_start
2026-04-05 20:50:36.996 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=cancel_order_preview_done
2026-04-05 20:50:36.996 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=set_active_drawing_tool_start
2026-04-05 20:50:36.996 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=set_active_drawing_tool_done
2026-04-05 20:50:36.996 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=cancel_order_preview_start
2026-04-05 20:50:36.996 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=cancel_order_preview_done
2026-04-05 20:50:36.997 | DEBUG    | 4148:4848 | barbybar.ui.main_window:hide_busy_overlay:1364 | event=hide_busy_overlay
2026-04-05 20:50:37.032 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=cancel_order_preview_start
2026-04-05 20:50:37.032 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=cancel_order_preview_done
2026-04-05 20:50:37.032 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=set_active_drawing_tool_start
2026-04-05 20:50:37.032 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=set_active_drawing_tool_done
2026-04-05 20:50:37.032 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=cancel_order_preview_start
2026-04-05 20:50:37.032 | DEBUG    | 4148:4848 | barbybar.ui.chart_widget:_log_interaction:1683 | event=cancel_order_preview_done
