2026-04-04 23:02:15.003 | INFO     | 18356:15344 | barbybar.logging_config:setup_logging:82 | BarByBar starting version=0.1.0 python=3.12.12 db_path=C:\Users\admin\.barbybar\barbybar.db log_dir=C:\code\BarByBar\.pytest-temp\fd958fad22114599884297085127dcf9\logs
2026-04-04 23:02:15.003 | WARNING  | 18356:15344 | barbybar.logging_config:_qt_message_handler:103 | Qt message: qt warning from test
2026-04-04 23:02:15.044 | DEBUG    | 18356:15344 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:02:15.080 | DEBUG    | 18356:15344 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:02:15.117 | DEBUG    | 18356:15344 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:02:15.148 | DEBUG    | 18356:15344 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:02:15.184 | DEBUG    | 18356:15344 | barbybar.ui.main_window:show_busy_overlay:699 | event=show_busy_overlay title=正在加载案例...
2026-04-04 23:02:15.188 | DEBUG    | 18356:15344 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:02:15.188 | DEBUG    | 18356:15344 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:02:15.218 | DEBUG    | 18356:15344 | barbybar.ui.main_window:_schedule_auto_save:933 | event=auto_save_scheduled
2026-04-04 23:02:15.219 | DEBUG    | 18356:15344 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:02:15.251 | DEBUG    | 18356:15344 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:02:15.307 | DEBUG    | 18356:15344 | barbybar.ui.main_window:show_busy_overlay:699 | event=show_busy_overlay title=正在加载案例...
2026-04-04 23:02:15.346 | DEBUG    | 18356:15344 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:02:15.412 | DEBUG    | 18356:15344 | barbybar.ui.main_window:show_busy_overlay:699 | event=show_busy_overlay title=正在加载案例...
2026-04-04 23:02:15.413 | DEBUG    | 18356:15344 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:02:15.458 | DEBUG    | 18356:15344 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:02:15.488 | INFO     | 18356:15344 | barbybar.ui.main_window:_import_csv_with_mapping:438 | event=import_success dataset_id=1 timeframe=1m
2026-04-04 23:02:15.489 | DEBUG    | 18356:15344 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:02:15.518 | WARNING  | 18356:15344 | barbybar.ui.main_window:_import_csv_with_mapping:417 | event=missing_columns missing_fields=volume
2026-04-04 23:02:15.522 | INFO     | 18356:15344 | barbybar.ui.main_window:_import_csv_with_mapping:438 | event=import_success dataset_id=1 timeframe=1m
2026-04-04 23:02:15.523 | DEBUG    | 18356:15344 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:02:15.546 | WARNING  | 18356:15344 | barbybar.ui.main_window:_import_csv_with_mapping:417 | event=missing_columns missing_fields=datetime,volume
2026-04-04 23:02:15.546 | INFO     | 18356:15344 | barbybar.ui.main_window:_import_csv_with_mapping:426 | event=column_mapping_cancelled
2026-04-04 23:02:15.546 | DEBUG    | 18356:15344 | barbybar.ui.main_window:hide_busy_overlay:715 | event=hide_busy_overlay
2026-04-04 23:02:15.618 | WARNING  | 18356:15344 | barbybar.storage.repository:_session_from_row:321 | event=deprecated_chart_timeframe_fallback
